algoritmo,distribucion,tamaño,repeticion,tiempo_ms
MergeSort,duplicados,1000,3,0.197000
CountingSort,duplicados,1000,1,0.026000
CountingSort,duplicados,1000,2,0.025000
CountingSort,duplicados,1000,3,0.024000
TimSort,duplicados,1000,1,0.107000
TimSort,duplicados,1000,2,0.106000
TimSort,duplicados,1000,3,0.106000
Seleccion,aleatorio,2500,1,12.894000
Seleccion,aleatorio,2500,2,12.875000
Seleccion,aleatorio,2500,3,12.945000
MergeSort,aleatorio,2500,1,0.608000
MergeSort,aleatorio,2500,2,0.617000
MergeSort,aleatorio,2500,3,0.590000
CountingSort,aleatorio,2500,1,0.065000
CountingSort,aleatorio,2500,2,0.070000
CountingSort,aleatorio,2500,3,0.070000
TimSort,aleatorio,2500,1,0.425000
TimSort,aleatorio,2500,2,0.433000
TimSort,aleatorio,2500,3,0.465000
Seleccion,ordenado,2500,1,12.681000
Seleccion,ordenado,2500,2,12.728000
Seleccion,ordenado,2500,3,12.692000
MergeSort,ordenado,2500,1,0.434000
MergeSort,ordenado,2500,2,0.479000
MergeSort,ordenado,2500,3,0.481000
CountingSort,ordenado,2500,1,0.077000
CountingSort,ordenado,2500,2,0.081000
CountingSort,ordenado,2500,3,0.082000
TimSort,ordenado,2500,1,0.218000
TimSort,ordenado,2500,2,0.215000
TimSort,ordenado,2500,3,0.210000
Seleccion,reverso,2500,1,13.434000
Seleccion,reverso,2500,2,13.404000
Seleccion,reverso,2500,3,13.442000
MergeSort,reverso,2500,1,0.441000
MergeSort,reverso,2500,2,0.488000
MergeSort,reverso,2500,3,0.478000
CountingSort,reverso,2500,1,0.085000
CountingSort,reverso,2500,2,0.081000
CountingSort,reverso,2500,3,0.082000
TimSort,reverso,2500,1,0.423000
TimSort,reverso,2500,2,0.442000
TimSort,reverso,2500,3,0.488000
Seleccion,casi,2500,1,12.734000
Seleccion,casi,2500,2,12.742000
Seleccion,casi,2500,3,12.726000
MergeSort,casi,2500,1,0.496000
MergeSort,casi,2500,2,0.498000
MergeSort,casi,2500,3,0.516000
CountingSort,casi,2500,1,0.075000
CountingSort,casi,2500,2,0.078000
CountingSort,casi,2500,3,0.079000
TimSort,casi,2500,1,0.295000
TimSort,casi,2500,2,0.313000
TimSort,casi,2500,3,0.296000
Seleccion,duplicados,2500,1,12.820000
Seleccion,duplicados,2500,2,12.741000
Seleccion,duplicados,2500,3,12.786000
MergeSort,duplicados,2500,1,0.525000
MergeSort,duplicados,2500,2,0.531000
MergeSort,duplicados,2500,3,0.541000
CountingSort,duplicados,2500,1,0.060000
CountingSort,duplicados,2500,2,0.065000
CountingSort,duplicados,2500,3,0.065000
TimSort,duplicados,2500,1,0.351000
TimSort,duplicados,2500,2,0.380000
TimSort,duplicados,2500,3,0.367000
Seleccion,aleatorio,5000,1,51.179000
Seleccion,aleatorio,5000,2,51.654000
Seleccion,aleatorio,5000,3,51.592000
MergeSort,aleatorio,5000,1,1.301000
MergeSort,aleatorio,5000,2,1.283000
MergeSort,aleatorio,5000,3,1.283000
CountingSort,aleatorio,5000,1,0.132000
CountingSort,aleatorio,5000,2,0.168000
CountingSort,aleatorio,5000,3,0.149000
TimSort,aleatorio,5000,1,0.905000
TimSort,aleatorio,5000,2,0.864000
TimSort,aleatorio,5000,3,0.926000
Seleccion,ordenado,5000,1,50.889000
Seleccion,ordenado,5000,2,51.294000
Seleccion,ordenado,5000,3,50.995000
MergeSort,ordenado,5000,1,0.873000
MergeSort,ordenado,5000,2,0.879000
MergeSort,ordenado,5000,3,0.940000
CountingSort,ordenado,5000,1,0.204000
CountingSort,ordenado,5000,2,0.195000
CountingSort,ordenado,5000,3,0.183000
TimSort,ordenado,5000,1,0.407000
TimSort,ordenado,5000,2,0.508000
TimSort,ordenado,5000,3,0.497000
Seleccion,reverso,5000,1,53.815000
Seleccion,reverso,5000,2,53.975000
Seleccion,reverso,5000,3,54.096000
